id,strategy,symbol,direction,baseline_status,baseline_r,source_baseline_outcome,step_pct,tp_reached,tp_trigger_ts,tp_trigger_price,partial_branch,post_tp_candles,trajectory_updates_json,trail_ts,trail_price,second_half_r,total_r,outcome,coverage_error
2830,overheated_24h,CRCLXUSDT,LONG,sl,-1.0,sl,8.0,False,,,not_activated,0,[],,,,-1.0,baseline_sl,
2830,overheated_24h,CRCLXUSDT,LONG,sl,-1.0,sl,10.0,False,,,not_activated,0,[],,,,-1.0,baseline_sl,
2831,overheated_24h,EDGEXUSDT,LONG,tp,2.0000000000000044,tp,2.0,True,1787212500,0.35902142857142855,tp_branch,3,"[{""ts"":1787212800,""favorable_extreme"":0.3681,""stop"":0.360738},{""ts"":1787213100,""favorable_extreme"":0.3727,""stop"":0.36524599999999996}]",1787213400,0.36524599999999996,2.4765873666940155,2.2382936833470097,partial_trail_stop,
2831,overheated_24h,EDGEXUSDT,LONG,tp,2.0000000000000044,tp,3.0,True,1787212500,0.35902142857142855,tp_branch,3,"[{""ts"":1787212800,""favorable_extreme"":0.3681,""stop"":0.35902142857142855},{""ts"":1787213100,""favorable_extreme"":0.3727,""stop"":0.361519}]",1787213400,0.361519,2.1912277823352526,2.0956138911676288,partial_trail_stop,
2831,overheated_24h,EDGEXUSDT,LONG,tp,2.0000000000000044,tp,4.0,True,1787212500,0.35902142857142855,tp_branch,3,"[{""ts"":1787212800,""favorable_extreme"":0.3681,""stop"":0.35902142857142855},{""ts"":1787213100,""favorable_extreme"":0.3727,""stop"":0.35902142857142855}]",1787213400,0.35902142857142855,2.0000000000000044,2.0000000000000044,partial_tp_floor,
2831,overheated_24h,EDGEXUSDT,LONG,tp,2.0000000000000044,tp,5.0,True,1787212500,0.35902142857142855,tp_branch,3,"[{""ts"":1787212800,""favorable_extreme"":0.3681,""stop"":0.35902142857142855},{""ts"":1787213100,""favorable_extreme"":0.3727,""stop"":0.35902142857142855}]",1787213400,0.35902142857142855,2.0000000000000044,2.0000000000000044,partial_tp_floor,
2831,overheated_24h,EDGEXUSDT,LONG,tp,2.0000000000000044,tp,6.0,True,1787212500,0.35902142857142855,tp_branch,3,"[{""ts"":1787212800,""favorable_extreme"":0.3681,""stop"":0.35902142857142855},{""ts"":1787213100,""favorable_extreme"":0.3727,""stop"":0.35902142857142855}]",1787213400,0.35902142857142855,2.0000000000000044,2.0000000000000044,partial_tp_floor,
2831,overheated_24h,EDGEXUSDT,LONG,tp,2.0000000000000044,tp,8.0,True,1787212500,0.35902142857142855,tp_branch,3,"[{""ts"":1787212800,""favorable_extreme"":0.3681,""stop"":0.35902142857142855},{""ts"":1787213100,""favorable_extreme"":0.3727,""stop"":0.35902142857142855}]",1787213400,0.35902142857142855,2.0000000000000044,2.0000000000000044,partial_tp_floor,
2831,overheated_24h,EDGEXUSDT,LONG,tp,2.0000000000000044,tp,10.0,True,1787212500,0.35902142857142855,tp_branch,3,"[{""ts"":1787212800,""favorable_extreme"":0.3681,""stop"":0.35902142857142855},{""ts"":1787213100,""favorable_extreme"":0.3727,""stop"":0.35902142857142855}]",1787213400,0.35902142857142855,2.0000000000000044,2.0000000000000044,partial_tp_floor,
2840,overheated_24h,AVAAIUSDT,LONG,tp,2.0,tp,2.0,True,1787217900,0.01854975,tp_branch,1,[],1787218200,0.01854975,2.0,2.0,partial_tp_floor,
