id,ts_open,ts_open_utc,symbol,direction,alert_type,strategy,is_shadow,status,ts_close,ts_close_utc,entry_price,sl_price,tp_price,exit_price,result_r,outcome,btc_candle_ts,btc_candle_ts_utc,btc_close,btc_ema50,trend_regime,regime_reason
667,1786303309,2026-08-09T19:21:49+00:00,BICOUSDT,LONG,oversold_24h,oversold_24h,0,tp,1786306560,2026-08-09T20:16:00+00:00,0.04592,0.044772,0.0477568,0.04929,2.935540069686401,win,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
668,1786303310,2026-08-09T19:21:50+00:00,MAGMAUSDT,LONG,oversold_24h,oversold_24h,1,sl,1786334550,2026-08-10T04:02:30+00:00,0.195,0.190125,0.2028,0.18635,-1.7743589743589716,loss,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
669,1786303315,2026-08-09T19:21:55+00:00,BSBUSDT,LONG,oversold_24h,oversold_24h,0,sl,1786334550,2026-08-10T04:02:30+00:00,0.14232,0.138762,0.1480128,0.13853,-1.0652051714446344,loss,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
670,1786303316,2026-08-09T19:21:56+00:00,SLXUSDT,LONG,oversold_24h,oversold_24h,1,sl,1786342667,2026-08-10T06:17:47+00:00,0.07835,0.07639125000000001,0.081484,0.07607,-1.164007657945123,loss,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
671,1786303348,2026-08-09T19:22:28+00:00,RIVERUSDT,LONG,oversold_24h,oversold_24h,1,tp,1786350891,2026-08-10T08:34:51+00:00,2.659,2.5925249999999997,2.76536,2.766,1.6096276795787907,win,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
673,1786303895,2026-08-09T19:31:35+00:00,MAGMAUSDT,LONG,oversold_24h,oversold_24h,1,sl,1786334550,2026-08-10T04:02:30+00:00,0.19433,0.18947175,0.2021032,0.18635,-1.642566767869089,loss,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
675,1786303908,2026-08-09T19:31:48+00:00,SLXUSDT,LONG,oversold_24h,oversold_24h,1,sl,1786353233,2026-08-10T09:13:53+00:00,0.07795,0.07600125,0.08106800000000002,0.076,-1.0006414368184775,loss,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
676,1786303914,2026-08-09T19:31:54+00:00,GWEIUSDT,LONG,oversold_24h,oversold_24h,1,tp,1786334550,2026-08-10T04:02:30+00:00,0.021428,0.0208923,0.02228512,0.024126,5.036400970692556,win,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
677,1786303954,2026-08-09T19:32:34+00:00,RIVERUSDT,LONG,oversold_24h,oversold_24h,1,tp,1786351340,2026-08-10T08:42:20+00:00,2.66,2.5935,2.7664000000000004,2.774,1.7142857142857124,win,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
678,1786304481,2026-08-09T19:41:21+00:00,GWEIUSDT,LONG,oversold_24h,oversold_24h,1,tp,1786334550,2026-08-10T04:02:30+00:00,0.021312,0.0207792,0.02216448,0.024126,5.281531531531533,win,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
679,1786304494,2026-08-09T19:41:34+00:00,MAGMAUSDT,LONG,oversold_24h,oversold_24h,1,sl,1786334550,2026-08-10T04:02:30+00:00,0.19376,0.18891599999999997,0.2015104,0.18635,-1.5297274979355857,loss,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
680,1786304540,2026-08-09T19:42:20+00:00,BOMEUSDT,LONG,overheated_24h,overheated_24h,1,tp,1786306027,2026-08-09T20:07:07+00:00,0.000781,0.000761475,0.00081224,0.0008123,1.6030729833546664,win,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
681,1786304558,2026-08-09T19:42:38+00:00,RIVERUSDT,LONG,oversold_24h,oversold_24h,1,tp,1786350831,2026-08-10T08:33:51+00:00,2.656,2.5896,2.7622400000000003,2.764,1.6265060240963745,win,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
683,1786304587,2026-08-09T19:43:07+00:00,SLXUSDT,LONG,oversold_24h,oversold_24h,1,sl,1786432115,2026-08-11T07:08:35+00:00,0.07766,0.07571850000000001,0.08076640000000002,0.07567,-1.0249806850373457,loss,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
685,1786305107,2026-08-09T19:51:47+00:00,RIVERUSDT,LONG,oversold_24h,oversold_24h,1,tp,1786350780,2026-08-10T08:33:00+00:00,2.651,2.5847249999999997,2.75704,2.762,1.6748396831384393,win,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
686,1786305144,2026-08-09T19:52:24+00:00,SLXUSDT,LONG,oversold_24h,oversold_24h,1,sl,1786432258,2026-08-11T07:10:58+00:00,0.07754,0.0756015,0.0806416,0.07554,-1.031725561000777,loss,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
687,1786305149,2026-08-09T19:52:29+00:00,MAGMAUSDT,LONG,oversold_24h,oversold_24h,1,sl,1786334550,2026-08-10T04:02:30+00:00,0.19215,0.18734625,0.19983599999999999,0.18635,-1.2073900598490772,loss,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
688,1786305239,2026-08-09T19:53:59+00:00,GWEIUSDT,LONG,oversold_24h,oversold_24h,1,tp,1786308813,2026-08-09T20:53:33+00:00,0.021007,0.020481825000000002,0.021847280000000004,0.021858,1.620412243537866,win,1786276800,2026-08-09T12:00:00+00:00,65197.1,64421.89093919581,bull,close_vs_ema50
689,1786305680,2026-08-09T20:01:20+00:00,MAGMAUSDT,LONG,oversold_24h,oversold_24h,1,sl,1786334550,2026-08-10T04:02:30+00:00,0.19189,0.18709275,0.1995656,0.18635,-1.1548282870394526,loss,1786291200,2026-08-09T16:00:00+00:00,65148.5,64450.38541216852,bull,close_vs_ema50
690,1786305704,2026-08-09T20:01:44+00:00,GWEIUSDT,LONG,oversold_24h,oversold_24h,1,tp,1786309533,2026-08-09T21:05:33+00:00,0.021239,0.020708025,0.02208856,0.022123,1.6648618108197188,win,1786291200,2026-08-09T16:00:00+00:00,65148.5,64450.38541216852,bull,close_vs_ema50
