id,strategy,symbol,direction,is_shadow,activation_threshold,activation_r,step_pct,range_pct,baseline_r,baseline_outcome,alt_r,alt_outcome,trail_ts,trail_price,activated,coverage_error
667,oversold_24h,BICOUSDT,LONG,0,+1R,1.0,8.0,614.414976599064,1.5999999999999952,tp,1.5999999999999952,tp,1786306200,0.0477568,False,
667,oversold_24h,BICOUSDT,LONG,0,+1R,1.0,10.0,614.414976599064,1.5999999999999952,tp,1.5999999999999952,tp,1786306200,0.0477568,False,
668,oversold_24h,MAGMAUSDT,LONG,1,any_profit,,2.0,23.2476939913492,-1.0,sl,-0.6452102564102582,trail_stop,1786308300,0.1918546,True,
668,oversold_24h,MAGMAUSDT,LONG,1,any_profit,,3.0,23.2476939913492,-1.0,sl,-1.0,trail_stop,1786318800,0.190125,True,
668,oversold_24h,MAGMAUSDT,LONG,1,any_profit,,4.0,23.2476939913492,-1.0,sl,-1.0,trail_stop,1786318800,0.190125,True,
668,oversold_24h,MAGMAUSDT,LONG,1,any_profit,,5.0,23.2476939913492,-1.0,sl,-1.0,trail_stop,1786318800,0.190125,True,
668,oversold_24h,MAGMAUSDT,LONG,1,any_profit,,6.0,23.2476939913492,-1.0,sl,-1.0,trail_stop,1786318800,0.190125,True,
668,oversold_24h,MAGMAUSDT,LONG,1,any_profit,,8.0,23.2476939913492,-1.0,sl,-1.0,trail_stop,1786318800,0.190125,True,
668,oversold_24h,MAGMAUSDT,LONG,1,any_profit,,10.0,23.2476939913492,-1.0,sl,-1.0,trail_stop,1786318800,0.190125,True,
668,oversold_24h,MAGMAUSDT,LONG,1,+0.3R,0.3,2.0,23.2476939913492,-1.0,sl,-1.0,sl,1786318800,0.190125,False,
668,oversold_24h,MAGMAUSDT,LONG,1,+0.3R,0.3,3.0,23.2476939913492,-1.0,sl,-1.0,sl,1786318800,0.190125,False,
668,oversold_24h,MAGMAUSDT,LONG,1,+0.3R,0.3,4.0,23.2476939913492,-1.0,sl,-1.0,sl,1786318800,0.190125,False,
668,oversold_24h,MAGMAUSDT,LONG,1,+0.3R,0.3,5.0,23.2476939913492,-1.0,sl,-1.0,sl,1786318800,0.190125,False,
668,oversold_24h,MAGMAUSDT,LONG,1,+0.3R,0.3,6.0,23.2476939913492,-1.0,sl,-1.0,sl,1786318800,0.190125,False,
