strategy,activation_threshold,step_pct,n,baseline_total_r,alt_total_r,delta_total_r,baseline_avg_r,alt_avg_r,delta_avg_r,baseline_wr_pct,alt_wr_pct,alt_positive_n,alt_negative_n,activated_n,trail_exit_n,baseline_2r_to_alt_loss_n,baseline_sl_to_alt_positive_n
ema_cross,+0.5R,2.0,344,112.0,79.421326,-32.578674,0.325581,0.230876,-0.094705,44.186,57.8488,199,145,232,183,15,68
ema_cross,+0.5R,3.0,344,112.0,102.105459,-9.894541,0.325581,0.296818,-0.028763,44.186,54.9419,189,155,232,153,14,57
ema_cross,+0.5R,4.0,344,112.0,111.122751,-0.877249,0.325581,0.323031,-0.00255,44.186,51.7442,178,166,232,135,8,39
ema_cross,+0.5R,5.0,344,112.0,124.557394,12.557394,0.325581,0.362085,0.036504,44.186,50.0,172,172,232,118,7,32
ema_cross,+0.5R,6.0,344,112.0,123.774373,11.774373,0.325581,0.359809,0.034228,44.186,47.9651,165,179,232,111,9,25
ema_cross,+0.5R,8.0,344,112.0,119.28225,7.28225,0.325581,0.346751,0.021169,44.186,45.3488,156,188,232,105,8,16
ema_cross,+0.5R,10.0,344,112.0,118.551251,6.551251,0.325581,0.344626,0.019044,44.186,44.7674,154,190,232,99,5,12
ema_cross,+0.75R,2.0,344,112.0,94.441477,-17.558523,0.325581,0.274539,-0.051042,44.186,58.1395,200,144,204,149,9,60
ema_cross,+0.75R,3.0,344,112.0,111.322656,-0.677344,0.325581,0.323612,-0.001969,44.186,54.6512,188,156,204,120,7,49
ema_cross,+0.75R,4.0,344,112.0,111.633745,-0.366255,0.325581,0.324517,-0.001065,44.186,52.0349,179,165,204,107,5,36
ema_cross,+0.75R,5.0,344,112.0,124.790975,12.790975,0.325581,0.362764,0.037183,44.186,50.5814,174,170,204,90,6,32
ema_cross,+0.75R,6.0,344,112.0,125.529855,13.529855,0.325581,0.364912,0.039331,44.186,48.8372,168,176,204,83,7,25
ema_cross,+0.75R,8.0,344,112.0,119.226394,7.226394,0.325581,0.346588,0.021007,44.186,45.6395,157,187,204,78,7,16
ema_cross,+0.75R,10.0,344,112.0,120.372799,8.372799,0.325581,0.349921,0.02434,44.186,45.6395,157,187,204,72,4,13
ema_cross,+1R,2.0,344,112.0,88.366172,-23.633828,0.325581,0.256878,-0.068703,44.186,54.6512,188,156,177,119,6,44
ema_cross,+1R,3.0,344,112.0,105.142196,-6.857804,0.325581,0.305646,-0.019935,44.186,53.1977,183,161,177,91,6,41
ema_cross,+1R,4.0,344,112.0,108.136123,-3.863877,0.325581,0.314349,-0.011232,44.186,50.8721,175,169,177,79,5,32
ema_cross,+1R,5.0,344,112.0,123.207238,11.207238,0.325581,0.358161,0.032579,44.186,49.4186,170,174,177,62,6,29
ema_cross,+1R,6.0,344,112.0,124.871694,12.871694,0.325581,0.362999,0.037418,44.186,48.2558,166,178,177,56,6,23
ema_cross,+1R,8.0,344,112.0,121.494458,9.494458,0.325581,0.353182,0.0276,44.186,46.2209,159,185,177,51,6,17
ema_cross,+1R,10.0,344,112.0,118.470494,6.470494,0.325581,0.344391,0.01881,44.186,45.9302,158,186,177,48,4,14
ema_cross,any_profit,2.0,344,112.0,73.405466,-38.594534,0.325581,0.213388,-0.112193,44.186,45.6395,157,187,303,255,35,57
ema_cross,any_profit,3.0,344,112.0,99.783174,-12.216826,0.325581,0.290067,-0.035514,44.186,47.3837,163,181,303,226,27,49
ema_cross,any_profit,4.0,344,112.0,111.893285,-0.106715,0.325581,0.325271,-0.00031,44.186,47.093,162,182,303,205,13,32
ema_cross,any_profit,5.0,344,112.0,123.570962,11.570962,0.325581,0.359218,0.033637,44.186,46.5116,160,184,303,188,12,27
ema_cross,any_profit,6.0,344,112.0,120.980171,8.980171,0.325581,0.351687,0.026105,44.186,45.6395,157,187,303,181,13,22
ema_cross,any_profit,8.0,344,112.0,119.097855,7.097855,0.325581,0.346215,0.020633,44.186,44.186,152,192,303,174,10,15
ema_cross,any_profit,10.0,344,112.0,116.89358,4.89358,0.325581,0.339807,0.014226,44.186,44.186,152,192,303,169,6,12
ema_cross_confirmed,+0.3R,2.0,129,88.5,37.237418,-51.262582,0.686047,0.288662,-0.397384,56.5891,66.6667,86,43,104,83,13,26
