tracker_id,source_demo_id,ts_open_utc,source_ts_close_utc,shadow_ts_close_utc,symbol,strategy,direction,source_is_shadow,entry_price,initial_sl_price,tp_price,step_pct,activation_label,activated,shadow_outcome,shadow_exit_method,baseline_outcome,baseline_r,shadow_r,delta_r
74,5689,2026-08-28T05:04:22+00:00,2026-08-28T08:13:29+00:00,2026-08-28T08:18:37+00:00,龙虾USDT,overheated_24h,LONG,1,0.038556,0.03228471428571429,0.051098571428571424,8.0,+0.5R,1,tp,live_price,tp,2.0,2.00118454,0.00118454
79,5710,2026-08-28T06:14:49+00:00,2026-08-28T14:34:16+00:00,2026-08-28T11:38:45+00:00,HEIUSDT,overheated_24h,LONG,1,0.15847,0.1464882142857143,0.18243357142857142,8.0,+0.5R,1,trail_stop,live_price,sl,-1.0,-0.31380965,0.68619035
81,5720,2026-08-28T06:57:44+00:00,2026-08-28T07:02:42+00:00,2026-08-28T07:02:42+00:00,HFTUSDT,overheated_24h,LONG,1,0.00916,0.008604464285714285,0.010271071428571428,8.0,+0.5R,0,sl,live_price,sl,-1.008036,-1.008036,0.0
82,5731,2026-08-28T07:42:56+00:00,2026-08-28T10:08:31+00:00,2026-08-28T10:50:42+00:00,GWEIUSDT,overheated_24h,LONG,1,0.028774,0.02721180357142857,0.03189839285714286,8.0,+0.5R,0,sl,live_price,sl,-1.0,-1.06708732,-0.06708732
83,5754,2026-08-28T08:30:43+00:00,2026-08-28T18:52:16+00:00,2026-08-28T18:52:16+00:00,MNTUSDT,ema_cross_confirmed,LONG,1,0.5263,0.5056465517241379,0.5676068965517242,6.0,any_profit,0,sl,live_price,sl,-1.01193756,-1.01193756,0.0
84,5759,2026-08-28T08:45:31+00:00,2026-08-29T00:39:32+00:00,2026-08-28T14:30:17+00:00,AEONUSDT,ema_cross_confirmed,LONG,1,0.06365,0.059116896551724134,0.07271620689655173,6.0,any_profit,1,trail_stop,live_price,tp,2.00966073,-0.23604138,-2.24570211
86,5795,2026-08-28T09:30:37+00:00,2026-08-28T13:02:07+00:00,2026-08-28T13:02:07+00:00,XPDUSDT,ema_cross_confirmed,LONG,1,1394.37,1371.988448275862,1439.1331034482755,6.0,any_profit,1,tp,live_price,tp,2.05079615,2.05079615,0.0
87,5801,2026-08-28T10:03:10+00:00,2026-08-28T22:00:14+00:00,2026-08-28T16:27:12+00:00,LIGHTUSDT,overheated_24h,LONG,1,0.2233,0.21166964285714285,0.2465607142857143,8.0,+0.5R,1,trail_stop,live_price,sl,-1.0231844,0.1461692,1.1693536
88,5815,2026-08-28T10:22:47+00:00,2026-08-28T12:47:12+00:00,2026-08-28T11:42:18+00:00,MANTRAUSDT,overheated_24h,LONG,1,0.004816,0.004621964285714286,0.0052040714285714286,8.0,+0.5R,1,trail_stop,live_price,sl,-1.0,-0.60813547,0.39186453
89,5821,2026-08-28T10:45:36+00:00,2026-08-28T11:00:44+00:00,2026-08-28T11:08:35+00:00,MANTRAUSDT,ema_cross_confirmed,LONG,1,0.005062,0.004864103448275862,0.005457793103448276,6.0,any_profit,0,sl,live_price,sl,-1.0,-1.34918975,-0.34918975
90,5824,2026-08-28T10:52:48+00:00,2026-08-28T12:48:36+00:00,2026-08-28T12:43:17+00:00,BASUSDT,overheated_24h,LONG,1,0.02901,0.027041785714285716,0.03294642857142857,8.0,+0.5R,1,trail_stop,live_price,sl,-1.0,-0.46234803,0.53765197
91,5837,2026-08-28T11:27:44+00:00,2026-08-28T18:33:13+00:00,2026-08-28T15:48:59+00:00,CHIPUSDT,overheated_24h,LONG,1,0.04337,0.04024785714285714,0.049614285714285715,8.0,+0.5R,1,trail_stop,live_price,sl,-1.02493709,-0.02562343,0.99931366
92,5843,2026-08-28T11:45:50+00:00,2026-08-28T14:06:38+00:00,2026-08-28T14:07:43+00:00,KAVAUSDT,ema_cross_confirmed,LONG,1,0.04706,0.0457803448275862,0.04961931034482759,6.0,any_profit,1,trail_stop,live_price,sl,-1.0,-1.06278631,-0.06278631
94,5856,2026-08-28T12:06:58+00:00,2026-08-28T16:34:26+00:00,2026-08-28T16:34:26+00:00,MAGMAUSDT,overheated_24h,LONG,1,0.42087,0.38620553571428573,0.49019892857142855,8.0,+0.5R,1,tp,live_price,tp,2.06955456,2.06955456,0.0
95,5858,2026-08-28T12:07:14+00:00,2026-08-29T01:21:31+00:00,2026-08-29T01:21:31+00:00,EDENUSDT,overheated_24h,LONG,1,0.07109,0.06531928571428572,0.08263142857142858,8.0,+0.5R,0,sl,live_price,sl,-1.02933531,-1.02933531,0.0
96,5869,2026-08-28T12:16:12+00:00,2026-08-28T13:38:25+00:00,2026-08-28T13:44:18+00:00,BILLUSDT,ema_cross_confirmed,LONG,1,0.02142,0.020632241379310346,0.022995517241379312,6.0,any_profit,1,trail_stop,live_price,sl,-1.0,-1.00284526,-0.00284526
98,5883,2026-08-28T13:12:02+00:00,2026-08-28T16:35:24+00:00,2026-08-28T16:35:24+00:00,BASUSDT,overheated_24h,LONG,1,0.028834,0.02657682142857143,0.03334835714285714,8.0,+0.5R,0,sl,live_price,sl,-1.00523726,-1.00523726,0.0
99,5895,2026-08-28T13:57:06+00:00,2026-08-28T16:27:12+00:00,2026-08-28T16:27:12+00:00,LABUSDT,overheated_24h,LONG,1,0.07975,0.07485839285714287,0.08953321428571429,8.0,+0.5R,0,sl,live_price,sl,-1.37582594,-1.37582594,0.0
101,5977,2026-08-28T15:47:24+00:00,2026-08-28T15:48:59+00:00,2026-08-28T16:32:03+00:00,DEXEUSDT,overheated_24h,LONG,1,2.208,2.1510000000000002,2.322,8.0,+0.5R,1,tp,live_price,sl,-1.0,2.33333333,3.33333333
106,6036,2026-08-28T16:16:11+00:00,2026-08-29T09:16:08+00:00,2026-08-29T09:16:08+00:00,ICPUSDT,ema_cross_confirmed,SHORT,1,2.353,2.468931034482759,2.121137931034483,6.0,any_profit,1,trail_stop,live_price,sl,-1.0092207,-1.0092207,0.0
109,6084,2026-08-28T18:00:43+00:00,2026-08-29T01:06:19+00:00,2026-08-29T01:13:26+00:00,AKEUSDT,overheated_24h,LONG,1,0.0087942,0.0074858839285714285,0.011410832142857142,8.0,+0.5R,1,trail_stop,live_price,tp,2.0,1.2445005,-0.7554995
110,6092,2026-08-28T18:45:35+00:00,2026-08-29T13:00:43+00:00,2026-08-29T13:00:43+00:00,RAVEUSDT,ema_cross_confirmed,SHORT,1,0.2591,0.27127241379310346,0.23475517241379307,6.0,any_profit,0,sl,live_price,sl,-1.02691218,-1.02691218,0.0
111,6096,2026-08-28T18:55:16+00:00,2026-08-28T21:21:24+00:00,2026-08-28T21:21:24+00:00,DEXEUSDT,overheated_24h,LONG,1,2.255,2.182517857142857,2.3999642857142853,8.0,+0.5R,1,tp,live_price,tp,2.06947524,2.06947524,0.0
112,6102,2026-08-28T19:05:26+00:00,2026-08-29T00:36:13+00:00,2026-08-29T00:36:13+00:00,MAGMAUSDT,overheated_24h,LONG,1,0.48162,0.4443648214285714,0.5561303571428571,8.0,+0.5R,1,tp,live_price,tp,2.19486265,2.19486265,0.0
113,6113,2026-08-28T19:45:47+00:00,2026-08-29T17:11:27+00:00,2026-08-29T17:11:27+00:00,ROBOUSDT,ema_cross_confirmed,LONG,1,0.01443,0.013822241379310344,0.01564551724137931,6.0,any_profit,1,trail_stop,live_price,sl,-2.2870922,-2.2870922,0.0
124,6179,2026-08-28T22:55:36+00:00,2026-08-29T01:57:48+00:00,2026-08-29T01:57:48+00:00,DEXEUSDT,overheated_24h,LONG,1,2.46,2.364375,2.6512499999999997,8.0,+0.5R,1,tp,live_price,tp,2.02875817,2.02875817,0.0
125,6183,2026-08-29T00:42:36+00:00,2026-08-29T13:17:56+00:00,2026-08-29T10:01:39+00:00,NILUSDT,overheated_24h,LONG,1,0.0499,0.047136785714285714,0.05542642857142857,8.0,+0.5R,1,trail_stop,live_price,tp,2.04833915,-0.7997932,-2.84813235
126,6198,2026-08-29T01:07:38+00:00,2026-08-29T01:25:08+00:00,2026-08-29T01:25:08+00:00,MAGMAUSDT,overheated_24h,LONG,1,0.53916,0.4971171428571428,0.6232457142857143,8.0,+0.5R,0,sl,live_price,sl,-1.01277608,-1.01277608,0.0
127,6200,2026-08-29T01:17:24+00:00,2026-08-29T04:51:31+00:00,2026-08-29T04:43:11+00:00,AKEUSDT,overheated_24h,LONG,1,0.0104568,0.008988198214285715,0.013394003571428573,8.0,+0.5R,1,trail_stop,live_price,sl,-1.01913263,0.08225511,1.10138774
129,6209,2026-08-29T03:01:48+00:00,2026-08-29T05:24:39+00:00,2026-08-29T06:10:33+00:00,HNTUSDT,overheated_24h,LONG,1,0.2544,0.23423035714285717,0.29473928571428576,8.0,+0.5R,1,tp,live_price,tp,2.0,2.01292607,0.01292607
130,6217,2026-08-29T03:42:03+00:00,2026-08-29T11:55:43+00:00,2026-08-29T09:01:00+00:00,BLESSUSDT,overheated_24h,LONG,1,0.012113,0.01096957142857143,0.014399857142857143,8.0,+0.5R,1,trail_stop,live_price,sl,-1.0,-0.5605947,0.4394053
131,6220,2026-08-29T04:00:44+00:00,2026-08-29T04:46:30+00:00,2026-08-29T04:41:27+00:00,AKEUSDT,ema_cross_confirmed,LONG,1,0.0114681,0.010035253448275862,0.014333793103448277,6.0,any_profit,1,trail_stop,live_price,sl,-1.09418556,-0.35453901,0.73964654
132,6230,2026-08-29T04:13:34+00:00,2026-08-29T04:55:10+00:00,2026-08-29T04:55:10+00:00,BANKUSDT,ema_cross_confirmed,LONG,1,0.0375,0.03616137931034483,0.04017724137931034,6.0,any_profit,0,sl,live_price,sl,-1.0010304,-1.0010304,0.0
133,6246,2026-08-29T05:00:28+00:00,2026-08-29T08:21:03+00:00,2026-08-29T06:18:50+00:00,BEATUSDT,ema_cross_confirmed,LONG,1,0.1387,0.12815344827586206,0.15979310344827585,6.0,any_profit,1,trail_stop,live_price,tp,2.0,0.49305215,-1.50694785
