strategy,step_pct,activation,n_pairs,minimum_pairs,status,mean_delta_r,mean_ci95_low,mean_ci95_high,bootstrap_iterations,bootstrap_seed
overheated_24h,8.0,+0.5R,82,20,ready,-0.04585449,-0.23784972,0.13676468,20000,20260826
ema_cross_confirmed,6.0,any_profit,38,20,ready,-0.08748958,-0.36003642,0.14523934,20000,20260827
