id,strategy,direction,regime,regime_reason,cohort,prior_cohort_n,prior_cohort_wins,prior_cohort_losses,historical_wr_pct,filter_pass,filter_reason
4246,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,29,7,22,24.1379,no,below_threshold
4267,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,29,7,22,24.1379,no,below_threshold
4285,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,307,134,173,43.6482,yes,passes
4296,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,311,138,173,44.373,yes,passes
4301,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,311,138,173,44.373,yes,passes
4313,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,311,138,173,44.373,yes,passes
4315,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,311,138,173,44.373,yes,passes
4329,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,312,138,174,44.2308,yes,passes
4332,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,312,138,174,44.2308,yes,passes
4335,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,313,138,175,44.0895,yes,passes
4342,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,313,138,175,44.0895,yes,passes
4355,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,314,139,175,44.2675,yes,passes
4356,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,314,139,175,44.2675,yes,passes
4359,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,314,139,175,44.2675,yes,passes
