id,strategy,direction,regime,regime_reason,cohort,prior_cohort_n,prior_cohort_wins,prior_cohort_losses,historical_wr_pct,filter_pass,filter_reason
3226,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,89,36,53,40.4494,yes,passes
3232,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,94,37,57,39.3617,yes,passes
3236,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,96,37,59,38.5417,yes,passes
3237,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,96,37,59,38.5417,yes,passes
3240,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,98,37,61,37.7551,yes,passes
3251,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,36,30,6,83.3333,yes,passes
3268,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,19,7,12,36.8421,no,insufficient_history
3274,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,19,7,12,36.8421,no,insufficient_history
3275,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,106,39,67,36.7925,yes,passes
3276,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,106,39,67,36.7925,yes,passes
3277,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,107,39,68,36.4486,yes,passes
3286,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,19,7,12,36.8421,no,insufficient_history
3287,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,19,7,12,36.8421,no,insufficient_history
3288,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,110,40,70,36.3636,yes,passes
3310,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,37,31,6,83.7838,yes,passes
3329,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,111,40,71,36.036,yes,passes
3330,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,111,40,71,36.036,yes,passes
3332,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,111,40,71,36.036,yes,passes
3333,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,111,40,71,36.036,yes,passes
3334,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,111,40,71,36.036,yes,passes
3338,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,39,33,6,84.6154,yes,passes
3350,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,122,49,73,40.1639,yes,passes
3351,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,122,49,73,40.1639,yes,passes
3354,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,122,49,73,40.1639,yes,passes
3360,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,123,49,74,39.8374,yes,passes
3362,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,123,49,74,39.8374,yes,passes
3364,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,123,49,74,39.8374,yes,passes
3383,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,40,34,6,85.0,yes,passes
3388,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,125,51,74,40.8,yes,passes
3392,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,125,51,74,40.8,yes,passes
3393,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,125,51,74,40.8,yes,passes
3398,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,126,52,74,41.2698,yes,passes
3399,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,126,52,74,41.2698,yes,passes
3400,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,126,52,74,41.2698,yes,passes
3401,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,126,52,74,41.2698,yes,passes
3403,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,126,52,74,41.2698,yes,passes
3414,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,128,54,74,42.1875,yes,passes
3415,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,128,54,74,42.1875,yes,passes
3416,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,128,54,74,42.1875,yes,passes
3420,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,128,54,74,42.1875,yes,passes
3421,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,128,54,74,42.1875,yes,passes
3423,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,129,55,74,42.6357,yes,passes
3426,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,46,40,6,86.9565,yes,passes
3427,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,46,40,6,86.9565,yes,passes
3432,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,134,60,74,44.7761,yes,passes
3433,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,134,60,74,44.7761,yes,passes
3435,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,135,61,74,45.1852,yes,passes
3437,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,135,61,74,45.1852,yes,passes
3438,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,135,61,74,45.1852,yes,passes
3439,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,136,62,74,45.5882,yes,passes
3440,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,136,62,74,45.5882,yes,passes
3441,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,136,62,74,45.5882,yes,passes
3470,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,49,43,6,87.7551,yes,passes
3471,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,142,66,76,46.4789,yes,passes
3472,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,142,66,76,46.4789,yes,passes
3474,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,143,67,76,46.8531,yes,passes
3475,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,143,67,76,46.8531,yes,passes
3477,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,143,67,76,46.8531,yes,passes
3482,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,50,44,6,88.0,yes,passes
3487,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,55,49,6,89.0909,yes,passes
3488,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,55,49,6,89.0909,yes,passes
3489,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,55,49,6,89.0909,yes,passes
3494,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,152,74,78,48.6842,yes,passes
