strategy,confirmation_level,rr_multiple,n_unique_signals,wins,losses,wr_pct,sample_status,breakeven_wr_pct,avg_r,avg_r_ci_low,avg_r_ci_high,avg_r_ci_crosses_zero,delta_wr_minus_breakeven_pp,delta_ci_low,delta_ci_high,delta_ci_crosses_zero,bootstrap_iterations,avg_r_bootstrap_seed,delta_bootstrap_seed
overheated_confirmed,2/3,1.5,20,5,15,25.0,ready,40.0,-0.41902316655563965,-0.8770621412559685,0.11157036852043942,True,-15.0,-30.0,5.0,True,20000,20260829,20260929
overheated_confirmed,3/3,1.0,6,2,4,33.333333333333336,insufficient,50.0,-0.38852605185877787,-1.110385437050889,0.3333333333333333,True,-16.666666666666668,-50.0,16.666666666666668,True,20000,20260830,20260930
