strategy,step_pct,range_bucket,n,baseline_total_r,alt_total_r,delta_total_r,baseline_avg_r,alt_avg_r,delta_avg_r,baseline_wr_pct,alt_wr_pct,alt_positive_n,alt_negative_n,trail_exit_n
overheated_early,4.0,high,78,12.0,4.72319,-7.27681,0.153846,0.060554,-0.093292,38.4615,42.3077,33,45,66
overheated_early,4.0,low,13,17.0,12.853603,-4.146397,1.307692,0.988739,-0.318954,76.9231,84.6154,11,2,7
overheated_early,4.0,mid,84,30.0,42.554674,12.554674,0.357143,0.506603,0.14946,45.2381,53.5714,45,39,54
overheated_early,5.0,all,175,59.0,57.874477,-1.125523,0.337143,0.330711,-0.006432,44.5714,46.2857,81,94,112
overheated_early,5.0,high,78,12.0,-1.488922,-13.488922,0.153846,-0.019089,-0.172935,38.4615,33.3333,26,52,61
overheated_early,5.0,low,13,17.0,16.559717,-0.440283,1.307692,1.273824,-0.033868,76.9231,76.9231,10,3,4
overheated_early,5.0,mid,84,30.0,42.803682,12.803682,0.357143,0.509568,0.152425,45.2381,53.5714,45,39,47
overheated_early,6.0,all,175,59.0,68.019705,9.019705,0.337143,0.388684,0.051541,44.5714,46.2857,81,94,97
overheated_early,6.0,high,78,12.0,7.009497,-4.990503,0.153846,0.089865,-0.063981,38.4615,37.1795,29,49,53
overheated_early,6.0,low,13,17.0,18.313308,1.313308,1.307692,1.408716,0.101024,76.9231,84.6154,11,2,2
overheated_early,6.0,mid,84,30.0,42.6969,12.6969,0.357143,0.508296,0.151154,45.2381,48.8095,41,43,42
overheated_early,8.0,all,175,59.0,72.66202,13.66202,0.337143,0.415212,0.078069,44.5714,46.2857,81,94,68
overheated_early,8.0,high,78,12.0,11.757391,-0.242609,0.153846,0.150736,-0.00311,38.4615,38.4615,30,48,38
overheated_early,8.0,low,13,17.0,17.444863,0.444863,1.307692,1.341913,0.03422,76.9231,76.9231,10,3,1
overheated_early,8.0,mid,84,30.0,43.459766,13.459766,0.357143,0.517378,0.160235,45.2381,48.8095,41,43,29
overheated_early,10.0,all,175,59.0,67.034727,8.034727,0.337143,0.383056,0.045913,44.5714,46.8571,82,93,48
overheated_early,10.0,high,78,12.0,7.751162,-4.248838,0.153846,0.099374,-0.054472,38.4615,38.4615,30,48,33
overheated_early,10.0,low,13,17.0,17.0,0.0,1.307692,1.307692,0.0,76.9231,76.9231,10,3,0
overheated_early,10.0,mid,84,30.0,42.283565,12.283565,0.357143,0.503376,0.146233,45.2381,50.0,42,42,15
oversold_24h,2.0,all,478,49.0,-0.812816,-49.812816,0.10251,-0.0017,-0.104211,39.5397,38.7029,185,293,379
oversold_24h,2.0,high,209,26.4,10.448376,-15.951624,0.126316,0.049992,-0.076324,40.6699,43.5407,91,118,152
oversold_24h,2.0,low,115,20.6,1.692672,-18.907328,0.17913,0.014719,-0.164412,41.7391,37.3913,43,72,94
oversold_24h,2.0,mid,154,2.0,-12.953864,-14.953864,0.012987,-0.084116,-0.097103,36.3636,33.1169,51,103,133
oversold_24h,3.0,all,478,49.0,-12.545072,-61.545072,0.10251,-0.026245,-0.128755,39.5397,34.1004,163,315,334
oversold_24h,3.0,high,209,26.4,6.699265,-19.700735,0.126316,0.032054,-0.094262,40.6699,35.4067,74,135,136
oversold_24h,3.0,low,115,20.6,-4.642159,-25.242159,0.17913,-0.040367,-0.219497,41.7391,34.7826,40,75,85
oversold_24h,3.0,mid,154,2.0,-14.602178,-16.602178,0.012987,-0.094819,-0.107806,36.3636,31.8182,49,105,113
oversold_24h,4.0,all,478,49.0,-16.869764,-65.869764,0.10251,-0.035292,-0.137803,39.5397,33.682,161,317,261
oversold_24h,4.0,high,209,26.4,12.919944,-13.480056,0.126316,0.061818,-0.064498,40.6699,36.8421,77,132,113
oversold_24h,4.0,low,115,20.6,-12.362877,-32.962877,0.17913,-0.107503,-0.286634,41.7391,31.3043,36,79,63
oversold_24h,4.0,mid,154,2.0,-17.426832,-19.426832,0.012987,-0.113161,-0.126148,36.3636,31.1688,48,106,85
oversold_24h,5.0,all,478,49.0,-7.670088,-56.670088,0.10251,-0.016046,-0.118557,39.5397,36.1925,173,305,201
oversold_24h,5.0,high,209,26.4,10.21925,-16.18075,0.126316,0.048896,-0.07742,40.6699,39.2344,82,127,90
oversold_24h,5.0,low,115,20.6,-8.932626,-29.532626,0.17913,-0.077675,-0.256805,41.7391,33.913,39,76,47
oversold_24h,5.0,mid,154,2.0,-8.956712,-10.956712,0.012987,-0.05816,-0.071147,36.3636,33.7662,52,102,64
oversold_24h,6.0,all,478,49.0,-2.198642,-51.198642,0.10251,-0.0046,-0.10711,39.5397,36.6109,175,303,167
oversold_24h,6.0,high,209,26.4,15.519188,-10.880812,0.126316,0.074254,-0.052061,40.6699,41.1483,86,123,76
