strategy,fixed_step_pct,n_forward_resolved,n_path_usable,n_path_coverage_error,baseline_total_r,alt_total_r,delta_total_r,baseline_avg_r,alt_avg_r,delta_avg_r,baseline_wr_pct,alt_positive_n,alt_negative_n,trail_exit_n
overheated_24h,8.0,2,2,0,1.0,1.0,0.0,0.5,0.5,0.0,50.0,1,1,0
ema_cross_confirmed,6.0,0,0,0,,,,,,,,0,0,0
