id,ts_open,ts_open_utc,symbol,direction,alert_type,is_shadow,signal_price,fix_cohort,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing,rsi_1h,rsi_bucket,up_count_12,trend_streak_candles,rsi_oversold_bucket,trend_start_ts,trend_delay_hours,trend_delay_bucket,rsi_source
1631,1786619700,2026-08-13T11:15:00+00:00,0GUSDT,LONG,bb_squeeze,1,0.16,pre_fix,0.16,0.15768613861386138,0.16462772277227722,tp_first,1786670100,2026-08-14T01:15:00+00:00,1.999999999999988,target_touch,no,,,3.6082,below_50%,sl,1786706548,0.1571,,missing,,0,missing,,,no_consecutive_trend,reconstructed
1632,1786619775,2026-08-13T11:16:15+00:00,SKYAIUSDT,SHORT,bb_squeeze,1,0.07283,pre_fix,0.07283,0.07887683168316832,0.06073633663366337,sl_first,1786622400,2026-08-13T12:00:00+00:00,-1.0,stop_touch,no,,,23.8015,below_50%,sl,1786623089,0.07937,,missing,,0,missing,,,no_consecutive_trend,reconstructed
1633,1786619830,2026-08-13T11:17:10+00:00,NESUSDT,SHORT,bb_squeeze,1,0.1984,pre_fix,0.1984,0.19974950495049504,0.1957009900990099,sl_first,1786634100,2026-08-13T15:15:00+00:00,-1.0,stop_touch,no,,,3.0488,below_50%,sl,1786633897,0.2,,missing,,0,missing,,,no_consecutive_trend,reconstructed
1634,1786619839,2026-08-13T11:17:19+00:00,PTBUSDT,LONG,bb_squeeze,1,0.0008912,pre_fix,0.0008912,0.0008661881188118812,0.0009412237623762376,sl_first,1786620600,2026-08-13T11:30:00+00:00,-1.0,stop_touch,no,,,7.8361,below_50%,sl,1786620418,0.0008661881188118812,,missing,,0,missing,,,no_consecutive_trend,reconstructed
1635,1786619869,2026-08-13T11:17:49+00:00,STBLUSDT,LONG,bb_squeeze,1,0.02348,pre_fix,0.02348,0.023183267326732673,0.024073465346534654,sl_first,1786620600,2026-08-13T11:30:00+00:00,-1.0,stop_touch,no,,,4.1998,below_50%,sl,1786620418,0.02315,,missing,,0,missing,,,no_consecutive_trend,reconstructed
1636,1786619888,2026-08-13T11:18:08+00:00,OPGUSDT,SHORT,bb_squeeze,1,0.0914,pre_fix,0.0914,0.09254257425742574,0.08911485148514851,sl_first,1786686300,2026-08-14T05:45:00+00:00,-1.0,stop_touch,no,,,4.8193,below_50%,sl,1786686644,0.09254257425742574,,missing,,0,missing,,,no_consecutive_trend,reconstructed
1637,1786619902,2026-08-13T11:18:22+00:00,NGUSDT,SHORT,bb_squeeze,1,2.834,pre_fix,2.834,2.8464752475247526,2.809049504950495,sl_first,1786624200,2026-08-13T12:30:00+00:00,-1.0,stop_touch,no,,,1.6272,below_50%,tp,1786627540,2.796,,missing,,0,missing,,,no_consecutive_trend,reconstructed
1644,1786622991,2026-08-13T12:09:51+00:00,ELSAUSDT,LONG,bb_squeeze,1,0.05173,pre_fix,0.05173,0.05103811881188119,0.05311376237623762,sl_first,1786689000,2026-08-14T06:30:00+00:00,-1.0,stop_touch,no,,,2.1419,below_50%,sl,1786689201,0.05088,,missing,,0,missing,,,no_consecutive_trend,reconstructed
1645,1786623002,2026-08-13T12:10:02+00:00,TXNUSDT,SHORT,bb_squeeze,1,276.3,pre_fix,276.3,278.1485148514852,272.60297029702974,sl_first,1786628700,2026-08-13T13:45:00+00:00,-1.0,stop_touch,no,,,4.8516,below_50%,sl,1786628434,279.6,,missing,,0,missing,,,no_consecutive_trend,reconstructed
1646,1786623240,2026-08-13T12:14:00+00:00,OPENAIUSDT,LONG,bb_squeeze,1,1172.03,pre_fix,1172.03,1165.0341584158416,1186.0216831683167,sl_first,1786626900,2026-08-13T13:15:00+00:00,-1.0,stop_touch,no,,,2.0527,below_50%,tp,1786635990,1191.47,,missing,,0,missing,,,no_consecutive_trend,reconstructed
