id,symbol,original_direction,tested_direction,entry,new_sl,new_tp,outcome,exit_ts,r,reason
4435,GUSDT,LONG,SHORT,0.003961,0.004019089108910891,0.003844821782178218,unresolved,1787599800,1.1534003749787078,window_close
4436,PEPEUSDT,LONG,SHORT,4.174e-06,4.2897128712871285e-06,3.942574257425744e-06,tp_first,1787593500,1.0,target_touch
4437,ORDIUSDT,LONG,SHORT,4.212,4.33880198019802,3.9583960396039597,sl_first,1787588100,-1.0,stop_touch
4438,CROUSDT,LONG,SHORT,0.06212,0.06327108910891088,0.059817821782178225,unresolved,1787599800,1.6679855496301579,window_close
4439,WIFUSDT,LONG,SHORT,0.2046,0.20987326732673267,0.19405346534653467,unresolved,1787599800,1.1188509200150252,window_close
4441,SOLUSDT,LONG,SHORT,96.23,97.6560396039604,93.37792079207922,unresolved,1787599800,0.49788238561411574,window_close
4442,BNBUSDT,LONG,SHORT,705.25,712.2544554455445,691.241089108911,sl_first,1787585400,-1.0,stop_touch
4443,EGLDUSDT,LONG,SHORT,3.64,3.7031188118811884,3.5137623762376236,sl_first,1787578200,-1.0,stop_touch
4444,AKTUSDT,LONG,SHORT,0.5766,0.5849485148514851,0.5599029702970297,sl_first,1787587200,-1.0,stop_touch
4445,CAKEUSDT,LONG,SHORT,1.7699,1.7908019801980197,1.7280960396039606,unresolved,1787599800,0.92814172706173,window_close
4455,STGUSDT,SHORT,LONG,0.155,0.15237821782178218,0.16024356435643564,tp_first,1787589900,1.0,target_touch
4457,ATUSDT,SHORT,LONG,0.13803,0.1356661386138614,0.14275772277227725,unresolved,1787599800,0.6514764397905694,window_close
4458,BANANAS31USDT,SHORT,LONG,0.00889,0.00875710891089109,0.009155782178217822,tp_first,1787585400,1.0,target_touch
4459,INJUSDT,LONG,SHORT,5.484,5.583118811881188,5.285762376237624,sl_first,1787580900,-1.0,stop_touch
4460,ONEUSDT,SHORT,LONG,0.000715,0.0006978811881188119,0.0007492376237623763,tp_first,1787595300,1.0,target_touch
4465,LLYUSDT,SHORT,LONG,1245.78,1239.0740594059405,1259.191881188119,sl_first,1787581800,-1.0,stop_touch
4468,JELLYJELLYUSDT,SHORT,LONG,0.05401,0.05312851485148515,0.05577297029702971,unresolved,1787599800,0.5445355498146609,window_close
4471,PYTHUSDT,SHORT,LONG,0.04961,0.04834257425742575,0.05214485148514851,unresolved,1787599800,-0.5286305757362748,window_close
4475,EDGEXUSDT,LONG,SHORT,0.3948,0.4031851485148515,0.378029702970297,unresolved,1787599800,-0.27429448577164,window_close
4480,RAREUSDT,LONG,SHORT,0.0128,0.012965940594059406,0.01246811881188119,tp_first,1787589900,1.0,target_touch
4492,FARTCOINUSDT,LONG,SHORT,0.18531,0.19215782178217822,0.17161435643564357,unresolved,1787599800,1.5289533421048844,window_close
4493,MUBARAKUSDT,SHORT,LONG,0.02277,0.021916831683168315,0.024476336633663366,unresolved,1787599800,1.453406057792736,window_close
4506,RESOLVUSDT,LONG,SHORT,0.01918,0.019478712871287128,0.01858257425742574,tp_first,1787593500,1.0,target_touch
4509,LUNAUSDT,LONG,SHORT,0.0497,0.05039029702970297,0.048319405940594064,tp_first,1787598900,1.0,target_touch
4513,YGGUSDT,LONG,SHORT,0.0239,0.024386039603960397,0.02292792079207921,tp_first,1787592600,1.0,target_touch
