id,symbol,original_signal_ts,breakout_candle_ts,entry,original_close_entry,risk,sl,tp,outcome,exit_ts,r
1632,SKYAIUSDT,1786619775,1786615200,0.07604,0.07283,0.006046831683168316,0.06999316831683168,0.08813366336633663,unresolved,1786701600,-0.6383508260606164
1633,NESUSDT,1786619830,1786615200,0.1997,0.1984,0.0013495049504950452,0.19835049504950494,0.20239900990099008,sl_first,1786619700,-1.0
1636,OPGUSDT,1786619888,1786615200,0.0931,0.0914,0.0011425742574257408,0.09195742574257426,0.09538514851485148,sl_first,1786619700,-1.0
1637,NGUSDT,1786619902,1786615200,2.836,2.834,0.012475247524752486,2.8235247524752474,2.860950495049505,sl_first,1786621500,-1.0
1645,TXNUSDT,1786623002,1786618800,277.4,276.3,1.848514851485163,275.5514851485148,281.0970297029703,sl_first,1786647600,-1.0
1647,EPICUSDT,1786623270,1786618800,0.329,0.3271,0.0364475247524752,0.2925524752475248,0.4018950495049504,unresolved,1786705200,0.10974682168858005
1655,DRIFTUSDT,1786623976,1786618800,0.0113,0.01119,0.00020000000000000052,0.011099999999999999,0.0117,sl_first,1786639500,-1.0
1659,MAGMAUSDT,1786626313,1786622400,0.18991,0.18548,0.004849999999999993,0.18506,0.19960999999999998,sl_first,1786636800,-1.0
1660,ASTSUSDT,1786626375,1786622400,73.38,73.32,0.8372277227722833,72.54277227722771,75.05445544554456,sl_first,1786627800,-1.0
1661,RDWUSDT,1786626399,1786622400,13.349,13.139,0.16976237623762458,13.179237623762376,13.68852475247525,sl_first,1786626000,-1.0
1665,TERUSDT,1786626565,1786622400,400.8,400.7,3.5158415841584088,397.2841584158416,407.83168316831683,tp_first,1786628700,2.0
1670,SPCXUSDT,1786630522,1786626000,144.9,142.5,1.6277227722772238,143.27227722772278,148.15544554455445,sl_first,1786630500,-1.0
1674,BANANAUSDT,1786630584,1786626000,3.718,3.688,0.04076237623762369,3.6772376237623763,3.7995247524752473,sl_first,1786633200,-1.0
