id,ts_open,ts_open_utc,symbol,direction,alert_type,is_shadow,signal_price,fix_cohort,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing,rsi_1h,rsi_bucket,up_count_12,trend_streak_candles,rsi_oversold_bucket,trend_start_ts,trend_delay_hours,trend_delay_bucket,rsi_source
667,1786303309,2026-08-09T19:21:49+00:00,BICOUSDT,LONG,oversold_24h,0,0.04592,pre_fix,0.04592,0.044772,0.0477568,tp_first,1786306500,2026-08-09T20:15:00+00:00,1.5999999999999952,target_touch,no,,,614.415,at_or_above_50%,tp,1786306560,0.04929,23.46482309882066,rsi_lt_80,4,0,rsi_le_30,,,no_consecutive_trend,reconstructed
669,1786303315,2026-08-09T19:21:55+00:00,BSBUSDT,LONG,oversold_24h,0,0.14232,pre_fix,0.14232,0.138762,0.1480128,sl_first,1786329000,2026-08-10T02:30:00+00:00,-1.0,stop_touch,no,,,18.6104,below_50%,sl,1786334550,0.13853,18.384539147670935,rsi_lt_80,1,0,rsi_le_30,,,no_consecutive_trend,reconstructed
694,1786306332,2026-08-09T20:12:12+00:00,MAGMAUSDT,LONG,oversold_24h,0,0.19337,pre_fix,0.19337,0.18853574999999997,0.2011048,sl_first,1786320000,2026-08-10T00:00:00+00:00,-1.0,stop_touch,no,,,23.3892,below_50%,sl,1786334550,0.18635,12.892196299275994,rsi_lt_80,2,0,rsi_le_30,,,no_consecutive_trend,reconstructed
696,1786306354,2026-08-09T20:12:34+00:00,GWEIUSDT,LONG,oversold_24h,0,0.021273,pre_fix,0.021273,0.020741175,0.022123920000000002,tp_first,1786310100,2026-08-09T21:15:00+00:00,1.6000000000000039,target_touch,no,,,29.6208,below_50%,tp,1786334550,0.024126,1.9395017793594036,rsi_lt_80,1,0,rsi_le_30,,,no_consecutive_trend,reconstructed
705,1786307934,2026-08-09T20:38:54+00:00,BICOUSDT,LONG,oversold_24h,0,0.04912,pre_fix,0.04912,0.047892,0.0510848,sl_first,1786310100,2026-08-09T21:15:00+00:00,-1.0,stop_touch,no,,,614.415,at_or_above_50%,sl,1786309413,0.04773,25.04978096375946,rsi_lt_80,4,1,rsi_le_30,1786298400,2.6483333333333334,0-3.9h,reconstructed
714,1786311596,2026-08-09T21:39:56+00:00,NAORISUSDT,LONG,oversold_24h,0,0.03117,pre_fix,0.03117,0.030390749999999998,0.0324168,tp_first,1786359600,2026-08-10T11:00:00+00:00,1.5999999999999992,target_touch,no,,,25.2153,below_50%,tp,1786360274,0.03246,36.543535620052744,rsi_lt_80,5,0,rsi_gt_30,,,no_consecutive_trend,reconstructed
721,1786335182,2026-08-10T04:13:02+00:00,IOSTUSDT,LONG,oversold_24h,0,0.000591,pre_fix,0.000591,0.0005762250000000001,0.0006146400000000001,unresolved,1786421700,2026-08-11T04:15:00+00:00,-0.7445008460236938,window_close,no,,,18.569,below_50%,sl,1786428163,0.000576,12.500000000000256,rsi_lt_80,1,0,rsi_le_30,,,no_consecutive_trend,reconstructed
722,1786335186,2026-08-10T04:13:06+00:00,HFTUSDT,LONG,oversold_24h,0,0.0093,pre_fix,0.0093,0.0090675,0.009672,sl_first,1786341600,2026-08-10T06:00:00+00:00,-1.0,stop_touch,no,,,25.4125,below_50%,sl,1786341464,0.00893,28.514056224899562,rsi_lt_80,5,0,rsi_le_30,,,no_consecutive_trend,reconstructed
725,1786335476,2026-08-10T04:17:56+00:00,HMSTRUSDT,LONG,oversold_24h,0,0.0001955,pre_fix,0.0001955,0.0001906125,0.00020332000000000003,sl_first,1786378500,2026-08-10T16:15:00+00:00,-1.0,stop_touch,no,,,22.3802,below_50%,sl,1786378451,0.0001905,26.506024096385573,rsi_lt_80,6,0,rsi_le_30,,,no_consecutive_trend,reconstructed
808,1786375678,2026-08-10T15:27:58+00:00,COHRUSDT,LONG,oversold_24h,0,334.13,pre_fix,334.13,325.77675,347.4952,sl_first,1786392000,2026-08-10T20:00:00+00:00,-1.0,stop_touch,no,,,22.4482,below_50%,sl,1786391910,325.72,16.12701717855282,rsi_lt_80,5,0,rsi_le_30,,,no_consecutive_trend,reconstructed
