id,ts_open,ts_open_utc,ts_close,ts_close_utc,symbol,direction,status,entry_price,sl_price,tp_price,exit_price,result_r,fix_cohort_by_close
3749,1787358988,2026-08-22T00:36:28+00:00,1787426290,2026-08-22T19:18:10+00:00,TUTUSDT,LONG,tp,0.040705,0.03327142857142857,0.055572142857142855,0.056312,2.0995291630633233,post_fix
4079,1787426970,2026-08-22T19:29:30+00:00,1787432712,2026-08-22T21:05:12+00:00,DASHUSDT,LONG,sl,43.83,41.309999999999995,48.87,41.309999999999995,-1.0,post_fix
3848,1787380856,2026-08-22T06:40:56+00:00,1787434703,2026-08-22T21:38:23+00:00,WIFUSDT,LONG,sl,0.204,0.19471607142857142,0.22256785714285712,0.1947,-1.0017311021350237,post_fix
3959,1787397790,2026-08-22T11:23:10+00:00,1787434815,2026-08-22T21:40:15+00:00,MELANIAUSDT,LONG,sl,0.11198,0.10428982142857142,0.12736035714285715,0.10428982142857142,-1.0,post_fix
3719,1787340974,2026-08-21T19:36:14+00:00,1787434873,2026-08-22T21:41:13+00:00,BERAUSDT,LONG,sl,0.1928,0.18506964285714286,0.20826071428571427,0.185,-1.00900900900901,post_fix
3885,1787383289,2026-08-22T07:21:29+00:00,1787440756,2026-08-22T23:19:16+00:00,MUBARAKUSDT,LONG,sl,0.02554,0.023120714285714286,0.03037857142857143,0.023120714285714286,-1.0,post_fix
3055,1787229529,2026-08-20T12:38:49+00:00,1787442552,2026-08-22T23:49:12+00:00,牛来USDT,LONG,sl,0.0587,0.0439875,0.08812500000000001,0.04358,-1.027697536108751,post_fix
2672,1787163216,2026-08-19T18:13:36+00:00,1787462600,2026-08-23T05:23:20+00:00,STARUSDT,LONG,sl,0.13844,0.12231660714285715,0.17068678571428572,0.1206,-1.1064668682371448,post_fix
3973,1787400469,2026-08-22T12:07:49+00:00,1787462600,2026-08-23T05:23:20+00:00,POLUSDT,LONG,sl,0.10945,0.10347035714285716,0.12140928571428572,0.10234,-1.189034223257483,post_fix
4124,1787432272,2026-08-22T20:57:52+00:00,1787462646,2026-08-23T05:24:06+00:00,CROSSUSDT,LONG,sl,0.12468,0.11460375,0.14483249999999998,0.11398,-1.0619029897035115,post_fix
