id,ts_open,ts_open_utc,symbol,direction,alert_type,is_shadow,signal_price,fix_cohort,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing,rsi_1h,rsi_bucket,up_count_12,trend_streak_candles,rsi_oversold_bucket,trend_start_ts,trend_delay_hours,trend_delay_bucket,rsi_source
1938,1786774131,2026-08-15T06:08:51+00:00,AIOUSDT,LONG,overheated_early,1,0.05113,pre_fix,0.05113,0.046298928571428574,0.060792142857142864,sl_first,1786785300,2026-08-15T09:15:00+00:00,-1.0,stop_touch,no,,,41.2683,below_50%,sl,1786785383,0.04614,,missing,,0,missing,,,no_consecutive_trend,reconstructed
1939,1786775326,2026-08-15T06:28:46+00:00,HUSDT,LONG,overheated_early,1,0.12047,pre_fix,0.12047,0.11065732142857143,0.14009535714285715,tp_first,1786794300,2026-08-15T11:45:00+00:00,2.0000000000000027,target_touch,no,,,32.994,below_50%,tp,1786810084,0.14072,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2667,1787163034,2026-08-19T18:10:34+00:00,HEMIUSDT,LONG,overheated_early,1,0.009034,pre_fix,0.009034,0.007604339285714286,0.011893321428571428,unresolved,1787249700,2026-08-20T18:15:00+00:00,-0.14758746455827512,window_close,no,,,49.2871,below_50%,tp,1787313031,0.011939,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2668,1787163066,2026-08-19T18:11:06+00:00,DOSUSDT,LONG,overheated_early,1,0.2738,pre_fix,0.2738,0.25256964285714284,0.3162607142857143,sl_first,1787175000,2026-08-19T21:30:00+00:00,-1.0,stop_touch,no,,,22.1583,below_50%,sl,1787207222,0.2389,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2669,1787163079,2026-08-19T18:11:19+00:00,MVLLUSDT,LONG,overheated_early,1,29.82,pre_fix,29.82,27.83517857142857,33.78964285714286,unresolved,1787249700,2026-08-20T18:15:00+00:00,1.597121007647324,window_close,no,,,37.397,below_50%,tp,1787253813,33.84,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2670,1787163117,2026-08-19T18:11:57+00:00,牛来USDT,LONG,overheated_early,1,0.0399,pre_fix,0.0399,0.0389025,0.041895,sl_first,1787165100,2026-08-19T18:45:00+00:00,-1.0,stop_touch,no,,,44.0312,below_50%,sl,1787169291,0.03888,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2671,1787163200,2026-08-19T18:13:20+00:00,BRUSDT,LONG,overheated_early,1,0.22981,pre_fix,0.22981,0.20537928571428568,0.27867142857142857,unresolved,1787249700,2026-08-20T18:15:00+00:00,-0.17723591497821703,window_close,no,,,24.139,below_50%,open,,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2672,1787163216,2026-08-19T18:13:36+00:00,STARUSDT,LONG,overheated_early,1,0.13844,pre_fix,0.13844,0.12231660714285715,0.17068678571428572,unresolved,1787249700,2026-08-20T18:15:00+00:00,-0.327474499119514,window_close,no,,,52.8252,at_or_above_50%,sl,1787462600,0.1206,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2680,1787167776,2026-08-19T19:29:36+00:00,TREEUSDT,LONG,overheated_early,1,0.04188,pre_fix,0.04188,0.04010464285714285,0.04543071428571429,sl_first,1787175900,2026-08-19T21:45:00+00:00,-1.0,stop_touch,no,,,46.4668,below_50%,sl,1787207222,0.03781,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2781,1787207838,2026-08-20T06:37:18+00:00,BIOUSDT,LONG,overheated_early,1,0.02982,pre_fix,0.02982,0.028802142857142856,0.031855714285714286,tp_first,1787214600,2026-08-20T08:30:00+00:00,2.0,target_touch,no,,,21.4257,below_50%,tp,1787214565,0.031855714285714286,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2782,1787207843,2026-08-20T06:37:23+00:00,KORUUSDT,LONG,overheated_early,1,20.793,pre_fix,20.793,19.199785714285714,23.97942857142857,sl_first,1787229900,2026-08-20T12:45:00+00:00,-1.0,stop_touch,no,,,19.5968,below_50%,sl,1787229406,19.171,,missing,,0,missing,,,no_consecutive_trend,reconstructed
