id,ts_open,symbol,direction,strategy,alert_type,is_shadow,shadow_reason,status,exit_method,ts_close,entry_price,sl_price,tp_price,exit_price,pnl_usd,close_reason,result_r,r_included,outcome,trend_regime,regime_reason,btc_candle_ts,btc_close,btc_ema50
1638,1786620062,POWERUSDT,SHORT,ema_cross,ema_cross,1,,tp,poll,1786707630,0.09365,0.09846379310344827,0.08402241379310345,0.084,10.30432461292044,tp,2.0046561604584516,True,tp,bear,close_vs_ema50,1786593600,63838.6,64165.38153736044
1639,1786620156,AVNTUSDT,LONG,ema_cross,ema_cross,1,,tp,wick,1786624439,0.0971,0.09436206896551724,0.10257586206896552,0.10257586206896552,5.639404808409383,tp,1.999999999999995,True,tp,bear,close_vs_ema50,1786593600,63838.6,64165.38153736044
1640,1786620213,CBRSUSDT,SHORT,ema_cross,ema_cross,1,,sl,poll,1786622214,215.6,221.48620689655172,203.82758620689654,222.5,-3.2003710575139173,sl,-1.1722319859402466,True,sl,bear,close_vs_ema50,1786593600,63838.6,64165.38153736044
1641,1786620228,GIGADEVUSDT,SHORT,ema_cross,ema_cross,1,,sl,poll,1786631783,63.68,65.45137931034483,60.13724137931034,65.53,-2.9051507537688464,sl,-1.0443838816429794,True,sl,bear,close_vs_ema50,1786593600,63838.6,64165.38153736044
1648,1786623292,B2USDT,LONG,ema_cross,ema_cross,1,,sl,wick,1786649546,0.4841,0.4706862068965517,0.5109275862068965,0.4706862068965517,-2.7708723617947237,sl,-1.0,True,sl,bear,close_vs_ema50,1786608000,63467.3,64138.00579079728
1649,1786623324,ZHIPUUSDT,LONG,ema_cross,ema_cross,1,,tp,wick,1786683796,167.3,162.79068965517243,176.31862068965518,176.31862068965518,5.390687800152519,tp,2.0,True,tp,bear,close_vs_ema50,1786608000,63467.3,64138.00579079728
1650,1786623342,GPSUSDT,LONG,ema_cross,ema_cross,1,,sl,poll,1786634280,0.011161,0.010899931034482759,0.011683137931034484,0.010802,-3.2165576561240026,sl,-1.3751155725795752,True,sl,bear,close_vs_ema50,1786608000,63467.3,64138.00579079728
1651,1786623403,CLOUSDT,SHORT,ema_cross,ema_cross,1,,sl,poll,1786684124,0.10946,0.11667172413793103,0.09503655172413794,0.11685,-6.751324684816366,sl,-1.0247202830639761,True,sl,bear,close_vs_ema50,1786608000,63467.3,64138.00579079728
1652,1786623455,BANKUSDT,LONG,ema_cross,ema_cross,1,,sl,wick,1786626661,0.04354,0.04105275862068966,0.04851448275862069,0.04105275862068966,-5.71254336084139,sl,-1.0,True,sl,bear,close_vs_ema50,1786608000,63467.3,64138.00579079728
1653,1786623554,BUSDT,LONG,ema_cross,ema_cross,1,,sl,poll,1786623994,0.1646,0.15816896551724138,0.17746206896551725,0.1573,-4.434993924665857,sl,-1.135120643431637,True,sl,bear,close_vs_ema50,1786608000,63467.3,64138.00579079728
