id,ts_open,ts_open_utc,symbol,direction,alert_type,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing,rsi_1h,rsi_bucket,up_count_12,trend_streak_candles,trend_start_ts,trend_delay_hours,trend_delay_bucket
680,1786304540,2026-08-09T19:42:20+00:00,BOMEUSDT,LONG,overheated_24h,0.000781,0.000761475,0.00081224,tp_first,1786306500,2026-08-09T20:15:00+00:00,1.5999999999999945,target_touch,no,,,27.0257,below_50%,tp,1786306027,0.0008123,97.94701986754966,rsi_ge_80,10,0,,,no_consecutive_trend
699,1786306946,2026-08-09T20:22:26+00:00,ESPUSDT,LONG,overheated_24h,0.0759,0.0740025,0.07893599999999999,sl_first,1786308300,2026-08-09T20:45:00+00:00,-1.0,stop_touch,no,,,23.1678,below_50%,sl,1786307991,0.07397,81.1751904243743,rsi_ge_80,8,1,1786298400,2.3738888888888887,0-3.9h
712,1786311505,2026-08-09T21:38:25+00:00,PEOPLEUSDT,LONG,overheated_24h,0.009281,0.009048974999999999,0.00965224,sl_first,1786320900,2026-08-10T00:15:00+00:00,-1.0,stop_touch,no,,,27.4593,below_50%,sl,1786334666,0.009046,92.02046035805634,rsi_ge_80,8,0,,,no_consecutive_trend
828,1786384582,2026-08-10T17:56:22+00:00,BSPUSDT,LONG,overheated_24h,55.94,52.94792529191203,61.92414941617593,sl_first,1786388400,2026-08-10T19:00:00+00:00,-1.0,stop_touch,no,,,28.3856,below_50%,sl,1786388007,52.88,87.6609442060086,rsi_ge_80,8,4,1786363200,5.939444444444445,4-7.9h
1338,1786482404,2026-08-11T21:06:44+00:00,CRWVUSDT,LONG,overheated_24h,102.28,99.723,106.3712,tp_first,1786523400,2026-08-12T08:30:00+00:00,1.599999999999999,target_touch,no,,,20.212,below_50%,tp,1786525306,106.8,84.45763626551546,rsi_ge_80,7,2,1786471200,3.112222222222222,0-3.9h
1505,1786531530,2026-08-12T10:45:30+00:00,CRWVUSDT,LONG,overheated_24h,107.01,104.33475,111.2904,tp_first,1786542300,2026-08-12T13:45:00+00:00,1.5999999999999968,target_touch,no,,,26.702,below_50%,tp,1786542323,111.2904,91.56991418475522,rsi_ge_80,8,2,1786518000,3.7583333333333333,0-3.9h
1546,1786542668,2026-08-12T13:51:08+00:00,SNXXUSDT,LONG,overheated_24h,11.347,11.063324999999999,11.80088,sl_first,1786543200,2026-08-12T14:00:00+00:00,-1.0,stop_touch,no,,,19.8718,below_50%,sl,1786562990,11.063324999999999,83.41836734693878,rsi_ge_80,7,2,1786528800,3.852222222222222,0-3.9h
1550,1786546543,2026-08-12T14:55:43+00:00,WENUSDT,LONG,overheated_24h,9.06,8.8335,9.422400000000001,sl_first,1786546800,2026-08-12T15:00:00+00:00,-1.0,stop_touch,no,,,6.2039,below_50%,sl,1786547425,8.498,76.53061224489814,rsi_lt_80,5,1,1786536000,2.928611111111111,0-3.9h
1563,1786558389,2026-08-12T18:13:09+00:00,NBISUSDT,LONG,overheated_24h,249.09,237.49219300253213,272.2856139949357,tp_first,1786631400,2026-08-13T14:30:00+00:00,1.9999999999999976,target_touch,yes,1786557221,pump_24h_fade,31.8127,below_50%,tp,1786631783,273.41,100.0,rsi_ge_80,12,14,1786503600,15.219166666666666,12h+
1694,1786634762,2026-08-13T15:26:02+00:00,SNXXUSDT,LONG,overheated_24h,14.361,14.001975,14.935440000000002,ambiguous,1786635000,2026-08-13T15:30:00+00:00,nan,both_barriers_same_candle,no,,,24.4373,below_50%,sl,1786635990,13.945,69.2607003891051,rsi_lt_80,4,0,,,no_consecutive_trend
