sample,step_pct,n,wins,losses,sum_r,avg_r,wr_pct,tp_branch_n,floor_exit_n,trail_exit_n,branch_rows,proportional_split_fee_delta_r,extra_second_leg_cost_5bps_total_r,extra_second_leg_cost_5bps_avg_r,extra_second_leg_cost_5bps_adjusted_avg_r,extra_second_leg_cost_10bps_total_r,extra_second_leg_cost_10bps_avg_r,extra_second_leg_cost_10bps_adjusted_avg_r
baseline_fixed,,408,165,243,83.8,0.2053921568627451,40.44117647058823,165,0,0,0,0.0,0.0,0.0,0.2053921568627451,0.0,0.0,0.2053921568627451
partial_tp50,2.0,408,165,243,95.5305093327753,0.23414340522739044,40.44117647058823,165,140,25,165,0.0,1.2237986907809664,0.0029995065950513882,0.23114389863233906,2.4475973815619327,0.0059990131901027765,0.22814439203728767
partial_tp50,3.0,408,165,243,93.43208024895954,0.2290001966886263,40.44117647058823,165,145,20,165,0.0,1.2227494762390583,0.0029969349907820056,0.2260032616978443,2.4454989524781165,0.005993869981564011,0.2230063267070623
partial_tp50,4.0,408,165,243,98.57850291918271,0.24161397774309487,40.44117647058823,165,151,14,165,0.0,1.2253226875741698,0.00300324188130924,0.23861073586178563,2.4506453751483397,0.00600648376261848,0.2356074939804764
partial_tp50,5.0,408,165,243,98.17268448761541,0.24061932472454758,40.44117647058823,165,153,12,165,0.0,1.2251197783583865,0.0030027445547999667,0.23761658016974763,2.450239556716773,0.0060054891095999334,0.23461383561494764
partial_tp50,6.0,408,165,243,97.82885806365869,0.23977661290112423,40.44117647058823,165,154,11,165,0.0,1.224947865146408,0.003002323198888255,0.23677428970223596,2.449895730292816,0.00600464639777651,0.23377196650334772
partial_tp50,8.0,408,165,243,103.53246629634268,0.2537560448439771,40.44117647058823,165,155,10,165,0.0,1.2277996692627502,0.003009312914859682,0.25074673192911745,2.4555993385255004,0.006018625829719364,0.24773741901425775
partial_tp50,10.0,408,165,243,103.8745959124158,0.2545945978245485,40.44117647058823,165,157,8,165,0.0,1.2279707340707864,0.0030097321913499665,0.25158486563319854,2.4559414681415728,0.006019464382699933,0.2485751334418486
