strategy,blended_n,level_1_3_n,level_1_3_avg_r,level_1_3_delta_pp,level_2_3_n,level_2_3_avg_r,level_2_3_delta_pp,level_3_3_n,level_3_3_avg_r,level_3_3_delta_pp,late_ready_levels,negative_late_levels,hypothesis_verdict,verdict_rule
overheated_confirmed,273,247,0.26383283525812046,8.367071524966256,20,-0.41902316655563965,-15.0,6,-0.3885260518587779,-16.666666666666664,2/3,2/3,partial_support,"supported if both late levels have n>=minimum_n, negative WR delta, and avg R<0; partial_support if some but not all ready late levels meet that rule"
ema_cross_confirmed,175,170,0.45485180545811865,15.490196078431367,1,1.6755555555555597,60.0,4,-0.5,-25.0,,,insufficient,"supported if both late levels have n>=minimum_n, negative WR delta, and avg R<0; partial_support if some but not all ready late levels meet that rule"
