id,ts_open,symbol,direction,strategy,alert_type,is_shadow,status,ts_close,entry_price,sl_price,tp_price,exit_price,confirmation_level,rr_multiple,rr_multiple_observed,breakeven_wr_pct,result_r,outcome,trend_regime,regime_reason,btc_candle_ts,btc_close,btc_ema50,shadow_reason
2261,1786975212,币安人生USDT,SHORT,ema_cross_confirmed,ema_cross_confirmed,1,sl,1787220564,0.46175,0.48980931034482755,0.4056313793103449,0.48980931034482755,1/3,2.0,2.0,33.333333333333336,-1.0,loss,bull,close_vs_ema50,1786953600,63591.4,63522.74063420964,
2273,1786978382,HEMIUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787151653,0.00717,0.006222803571428572,0.009064392857142858,0.009177,1/3,2.0,2.000000000000001,33.333333333333336,2.118884678468412,win,bull,close_vs_ema50,1786953600,63591.4,63522.74063420964,
2279,1786979994,AEONUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787157528,0.0865,0.07702375,0.10545249999999998,0.07642,1/3,2.0,2.0,33.333333333333336,-1.0637119113573408,loss,bull,close_vs_ema50,1786953600,63591.4,63522.74063420964,
2284,1786981136,AXTIUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787023032,93.69,90.77571428571429,99.51857142857142,90.77,1/3,2.0,2.0,33.333333333333336,-1.0019607843137273,loss,bull,close_vs_ema50,1786953600,63591.4,63522.74063420964,
2290,1786982457,EDENUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787908479,0.05397,0.04474446428571428,0.07242107142857143,0.07242107142857143,1/3,2.0,2.000000000000001,33.333333333333336,2.000000000000001,win,unknown,snapshot_missing,,,,
2295,1786982877,B2USDT,SHORT,ema_cross_confirmed,ema_cross_confirmed,1,sl,1787308255,0.4637,0.4932241379310345,0.40465172413793105,0.4939,1/3,2.0,2.0,33.333333333333336,-1.022891847699136,loss,bull,close_vs_ema50,1786968000,64166.4,63547.98217796613,
2309,1786983063,VELVETUSDT,SHORT,ema_cross_confirmed,ema_cross_confirmed,1,sl,1787564875,0.62704,0.9136737931034483,0.05377241379310349,0.9136737931034483,1/3,2.0,2.0,33.333333333333336,-1.0,loss,bull,close_vs_ema50,1786968000,64166.4,63547.98217796613,
2310,1786983301,QUSDT,SHORT,ema_cross_confirmed,ema_cross_confirmed,1,sl,1787304626,0.019991,0.022453758620689653,0.015065482758620689,0.022462,1/3,2.0,2.0,33.333333333333336,-1.0033464015681888,loss,bull,close_vs_ema50,1786968000,64166.4,63547.98217796613,
2311,1786983302,AWEUSDT,SHORT,ema_cross_confirmed,ema_cross_confirmed,1,sl,1787173781,0.05873,0.06213,0.05193,0.06213,1/3,2.0,2.0,33.333333333333336,-1.0,loss,bull,close_vs_ema50,1786968000,64166.4,63547.98217796613,
2313,1786983365,TUTUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787029996,0.047858,0.03880828571428571,0.06595742857142857,0.03880828571428571,1/3,2.0,2.0,33.333333333333336,-1.0,loss,bull,close_vs_ema50,1786968000,64166.4,63547.98217796613,
2315,1786983546,FHEUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1786984568,0.03209,0.030240714285714287,0.03578857142857143,0.02969,1/3,2.0,2.0,33.333333333333336,-1.2977983777520283,loss,bull,close_vs_ema50,1786968000,64166.4,63547.98217796613,
