sample,strategy,direction,regime,confirmation_level,cohort,n,wins,losses,wr_pct,avg_r,rr_multiple,breakeven_wr_pct,delta_wr_minus_breakeven_pp,sample_status,levels_present
confirmation_level,ema_cross_confirmed,LONG,unknown,2/3,ema_cross_confirmed|LONG|unknown|2/3,0,0,0,,,1.5,40.0,,insufficient,
confirmation_level,ema_cross_confirmed,LONG,unknown,3/3,ema_cross_confirmed|LONG|unknown|3/3,0,0,0,,,1.0,50.0,,insufficient,
blended,ema_cross_confirmed,SHORT,bull,all,ema_cross_confirmed|SHORT|bull,50,11,39,22.0,-0.45850112046922753,,,,ready,1/3
confirmation_level,ema_cross_confirmed,SHORT,bull,1/3,ema_cross_confirmed|SHORT|bull|1/3,50,11,39,22.0,-0.45850112046922753,2.0,33.333333333333336,-11.333333333333336,ready,1/3
confirmation_level,ema_cross_confirmed,SHORT,bull,2/3,ema_cross_confirmed|SHORT|bull|2/3,0,0,0,,,1.5,40.0,,insufficient,
confirmation_level,ema_cross_confirmed,SHORT,bull,3/3,ema_cross_confirmed|SHORT|bull|3/3,0,0,0,,,1.0,50.0,,insufficient,
blended,ema_cross_confirmed,SHORT,bear,all,ema_cross_confirmed|SHORT|bear,0,0,0,,,,,,insufficient,
confirmation_level,ema_cross_confirmed,SHORT,bear,1/3,ema_cross_confirmed|SHORT|bear|1/3,0,0,0,,,2.0,33.333333333333336,,insufficient,
confirmation_level,ema_cross_confirmed,SHORT,bear,2/3,ema_cross_confirmed|SHORT|bear|2/3,0,0,0,,,1.5,40.0,,insufficient,
confirmation_level,ema_cross_confirmed,SHORT,bear,3/3,ema_cross_confirmed|SHORT|bear|3/3,0,0,0,,,1.0,50.0,,insufficient,
blended,ema_cross_confirmed,SHORT,unknown,all,ema_cross_confirmed|SHORT|unknown,6,2,4,33.333333333333336,-0.0042342959778055205,,,,insufficient,1/3
confirmation_level,ema_cross_confirmed,SHORT,unknown,1/3,ema_cross_confirmed|SHORT|unknown|1/3,6,2,4,33.333333333333336,-0.0042342959778055205,2.0,33.333333333333336,0.0,insufficient,1/3
confirmation_level,ema_cross_confirmed,SHORT,unknown,2/3,ema_cross_confirmed|SHORT|unknown|2/3,0,0,0,,,1.5,40.0,,insufficient,
confirmation_level,ema_cross_confirmed,SHORT,unknown,3/3,ema_cross_confirmed|SHORT|unknown|3/3,0,0,0,,,1.0,50.0,,insufficient,
