id,ts_open,ts_open_utc,symbol,direction,alert_type,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing
2502,1787045803,2026-08-18T09:36:43+00:00,PRLUSDT,SHORT,high_rejection_short,0.44331,0.4619928571428571,0.40594428571428576,sl_first,1787099400,2026-08-19T00:30:00+00:00,-1.0,stop_touch,no,,,28.3414,below_50%,tp,1787151653,0.36331
2569,1787063200,2026-08-18T14:26:40+00:00,VCXUSDT,SHORT,high_rejection_short,41.79,45.1332,35.10359999999999,unresolved,1787149800,2026-08-19T14:30:00+00:00,0.15254845656855634,window_close,no,,,31.7616,below_50%,open,,
2576,1787064979,2026-08-18T14:56:19+00:00,GPSUSDT,SHORT,high_rejection_short,0.017603,0.018545285714285716,0.01571842857142857,sl_first,1787077800,2026-08-18T18:30:00+00:00,-1.0,stop_touch,no,,,21.4053,below_50%,tp,1787151653,0.011934
2711,1787168837,2026-08-19T19:47:17+00:00,DOSUSDT,SHORT,high_rejection_short,0.266,0.2768857142857143,0.24422857142857146,tp_first,1787190300,2026-08-20T01:45:00+00:00,2.0,target_touch,no,,,23.1314,below_50%,tp,1787207222,0.2389
2923,1787218530,2026-08-20T09:35:30+00:00,牛来USDT,SHORT,high_rejection_short,0.06583,0.0710964,0.05529719999999999,sl_first,1787223600,2026-08-20T11:00:00+00:00,-1.0,stop_touch,yes,1787217257,overheated_confirmed,115.1235,at_or_above_50%,sl,1787223057,0.0710964
2939,1787220630,2026-08-20T10:10:30+00:00,METUSDT,SHORT,high_rejection_short,0.2163,0.22388571428571427,0.20112857142857143,sl_first,1787275800,2026-08-21T01:30:00+00:00,-1.0,stop_touch,no,,,35.2976,below_50%,sl,1787290361,0.2252
2987,1787226932,2026-08-20T11:55:32+00:00,ETHFIUSDT,SHORT,high_rejection_short,0.5633,0.5814571428571429,0.5269857142857143,window_not_elapsed,1787312700,2026-08-21T11:45:00+00:00,-0.34697088906372753,analysis_run_before_window_end,yes,1787225510,overheated_early,20.8755,below_50%,open,,
3132,1787237896,2026-08-20T14:58:16+00:00,ONGUSDT,SHORT,high_rejection_short,0.08193,0.08725857142857144,0.07127285714285714,sl_first,1787256000,2026-08-20T20:00:00+00:00,-1.0,stop_touch,yes,1787235875,low_rejection_long,42.9442,below_50%,sl,1787255282,0.08726
3171,1787244087,2026-08-20T16:41:27+00:00,PEOPLEUSDT,SHORT,high_rejection_short,0.009747,0.010263428571428573,0.008714142857142856,sl_first,1787245200,2026-08-20T17:00:00+00:00,-1.0,stop_touch,no,,,28.1937,below_50%,sl,1787244823,0.010263428571428573
3172,1787244100,2026-08-20T16:41:40+00:00,BRUSDT,SHORT,high_rejection_short,0.23785,0.24960714285714286,0.2143357142857143,window_not_elapsed,1787312700,2026-08-21T11:45:00+00:00,-0.12417982989064308,analysis_run_before_window_end,no,,,19.4997,below_50%,open,,
