id,ts_open,ts_open_utc,symbol,direction,alert_type,is_shadow,signal_price,fix_cohort,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing,rsi_1h,rsi_bucket,up_count_12,trend_streak_candles,rsi_oversold_bucket,trend_start_ts,trend_delay_hours,trend_delay_bucket,rsi_source
733,1786337427,2026-08-10T04:50:27+00:00,TAKEUSDT,LONG,confluence,1,0.05332,pre_fix,0.05332,0.043511647856963535,0.07293670428607293,unresolved,1786424400,2026-08-11T05:00:00+00:00,0.28037329409633727,window_close,no,,,27.8512,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
737,1786338631,2026-08-10T05:10:31+00:00,QNTUSDT,LONG,confluence,1,57.93,pre_fix,57.93,56.99046171161575,59.8090765767685,unresolved,1786425300,2026-08-11T05:15:00+00:00,-0.14900936101365558,window_close,no,,,2.5943,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
740,1786339825,2026-08-10T05:30:25+00:00,ALGOUSDT,LONG,confluence,1,0.08225,pre_fix,0.08225,0.08013951555865657,0.08647096888268686,unresolved,1786427100,2026-08-11T05:45:00+00:00,-0.2369124311959984,window_close,no,,,6.7975,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
741,1786340128,2026-08-10T05:35:28+00:00,HEIUSDT,LONG,confluence,1,0.15496,pre_fix,0.15496,0.11229887727792863,0.2402822454441427,unresolved,1786427100,2026-08-11T05:45:00+00:00,-0.04336500968463415,window_close,no,,,28.51,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
745,1786341626,2026-08-10T06:00:26+00:00,HFTUSDT,LONG,confluence,1,0.0092,pre_fix,0.0092,0.005422457035757526,0.016755085928484948,unresolved,1786428900,2026-08-11T06:15:00+00:00,-0.11912505145794929,window_close,no,,,25.8542,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
751,1786343422,2026-08-10T06:30:22+00:00,COTIUSDT,LONG,confluence,1,0.01135,pre_fix,0.01135,0.010240938072095288,0.013568123855809428,unresolved,1786430700,2026-08-11T06:45:00+00:00,-0.34263190398926807,window_close,no,,,18.0668,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
766,1786349715,2026-08-10T08:15:15+00:00,GRVTUSDT,SHORT,confluence,1,0.382,pre_fix,0.382,0.43929999999999997,0.30560000000000004,unresolved,1786437000,2026-08-11T08:30:00+00:00,0.893542757417104,window_close,no,,,39.7861,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
769,1786351513,2026-08-10T08:45:13+00:00,XPDUSDT,LONG,confluence,1,1361.83,pre_fix,1361.83,1343.2092371090241,1399.0715257819513,tp_first,1786410900,2026-08-11T01:15:00+00:00,1.9999999999999878,target_touch,no,,,2.2051,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
770,1786353021,2026-08-10T09:10:21+00:00,TRUSTUSDT,LONG,confluence,1,0.05238,pre_fix,0.05238,0.05055683762077016,0.0560263247584597,unresolved,1786439700,2026-08-11T09:15:00+00:00,0.07130467449362016,window_close,no,,,7.6201,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
824,1786380739,2026-08-10T16:52:19+00:00,GWEIUSDT,SHORT,confluence,1,0.02885,pre_fix,0.02885,0.0343746512785008,0.017800697442998406,unresolved,1786467600,2026-08-11T17:00:00+00:00,0.6842060809720041,window_close,no,,,39.6504,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
826,1786381591,2026-08-10T17:06:31+00:00,ZESTUSDT,SHORT,confluence,1,0.18818,pre_fix,0.18818,0.21061425333944442,0.14331149332111112,unresolved,1786468500,2026-08-11T17:15:00+00:00,0.8977343571577383,window_close,no,,,21.5104,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
836,1786390349,2026-08-10T19:32:29+00:00,ARMUSDT,LONG,confluence,1,272.12,pre_fix,272.12,264.2671673904444,287.8256652191112,unresolved,1786477500,2026-08-11T19:45:00+00:00,-0.5615807975626248,window_close,no,,,7.3143,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
837,1786390350,2026-08-10T19:32:30+00:00,EBAYUSDT,LONG,confluence,1,108.27,pre_fix,108.27,105.33247518122924,114.1450496375415,unresolved,1786477500,2026-08-11T19:45:00+00:00,-0.599143874037628,window_close,no,,,7.1696,below_50%,manual,1786445757,,,missing,,0,missing,,,no_consecutive_trend,reconstructed
